Zecharia Sitchin, 23 books
Erich von Däniken, 22 books
Cesare Cantù, 16 books
V. Gordon Childe, 14 books
Max Ebert, 14 books
Harold Peake, 12 books
Brian M. Fagan, 11 books
Henri Frankfort, 8 books
Ivar Lissner, 8 books
Antoine-Yves Goguet, 8 books
Sabatino Moscati, 8 books
Cyrus Herzl Gordon, 7 books
Antoine Yves Goguet, 7 books
Graham Hancock, 7 books
Gaston Maspero, 6 books
Philip Wilkinson, 6 books
National Geographic Society (U.S.), 5 books
Anne Millard, 5 books
James Churchward, 5 books
William Eusebius Andrews, 5 books
Nicholas Redfern, 5 books
Peter Kolosimo, 5 books
W. Raymond Drake, 4 books
Rawlinson, George, 4 books
Jacques Bergier, 4 books
