A. de Quatrefages, 14 books
William A. Haviland, 14 books
Ashley Montagu, 12 books
Margaret Mead, 12 books
Marvin Harris, 12 books
A. L. Kroeber, 10 books
Bronisław Malinowski, 10 books
Conrad Phillip Kottak, 10 books
Elvio Angeloni, 10 books
Franz Boas, 10 books
Claude Lévi-Strauss, 9 books
Ruth Benedict, 9 books
Walter Rochs Goldschmidt, 8 books
Ralph Linton, 8 books
John R. Smythies, 8 books
Paul Broca, 8 books
Mingming Wang, 8 books
George W. Stocking, 8 books
James P. Spradley, 7 books
Field, Henry, 7 books
David W. McCurdy, 7 books
Erickson, Paul A., 7 books
Marc Augé, 7 books
R. R. Marett, 7 books
National Museum of Canada, 7 books
