Brian M. Fagan, 20 books
Ian Hodder, 19 books
Charles Nicolas Normand, 19 books
V. Gordon Childe, 17 books
Caylus, Anne Claude Philippe comte de, 17 books
Colin Renfrew, 16 books
Glyn Edmund Daniel, 15 books
Tadashi Saitō, 14 books
Max Ebert, 14 books
Paul G. Bahn, 14 books
Sallie Purkis, 11 books
Thomas Johnson Westropp, 11 books
J. Rendel Harris, 10 books
James Mason, 10 books
Harold Peake, 9 books
Kenneth L. Feder, 9 books
Adolf Theodor Friedrich Michaelis, 9 books
William A. Haviland, 9 books
Robert Silverberg, 9 books
Andrzej Abramowicz, 9 books
Michael B. Schiffer, 8 books
R. Lee Lyman, 8 books
Rose Macaulay, 8 books
T. Douglas Price, 8 books
