Margaret Wise Brown, 27 books
Harriet Ziefert, 19 books
Claire Freedman, 11 books
Jane Yolen, 11 books
Michael Dahl, 9 books
Mercer Mayer, 9 books
Sandra Boynton, 8 books
Eileen Christelow, 8 books
Adam Gamble, 8 books
Alyssa Satin Capucilli, 7 books
Martin Waddell, 7 books
Sam McBratney, 7 books
Peggy Rathmann, 7 books
Russell Hoban, 7 books
Mem Fox, 7 books
Karma Wilson, 6 books
Anna Dewdney, 6 books
Mick Inkpen, 6 books
Eileen Spinelli, 6 books
Amy Hest, 6 books
Debi Gliori, 6 books
Penny Dale, 6 books
Rosemary Wells, 6 books
Mo Willems, 5 books
Janet Halfmann, 5 books
