Biological Sciences Curriculum Study, 28 books
Julian Huxley, 26 books
Jean Rostand, 25 books
Jane B. Reece, 18 books
Cecie Starr, 17 books
Peter H. Raven, 16 books
Spallanzani, Lazzaro, 14 books
Neil Alexander Campbell, 14 books
J. Arthur Thomson, 13 books
Sylvia S. Mader, 13 books
Teresa Audesirk, 12 books
Willis Hugh Johnson, 11 books
Adolf Portmann, 11 books
William K. Purves, 11 books
Herbert Spencer, 10 books
J. S. Haldane, 10 books
Jean-Henri Fabre, 10 books
Zhen Su, 10 books
Alberta. Dept. of Education, 10 books
J. B. S. Haldane, 9 books
National Research Council., 9 books
Eldon D. Enger, 9 books
George B. Johnson, 9 books
Ernst Haeckel, 9 books
Karl von Frisch, 9 books
