Research Group, 628 books
Institute of Leadership & Management (ILM), 49 books
Kenton E. Ross, 46 books
Philip M. Parker, 39 books
Mark W. Lehman, 38 books
James E. Smith, 37 books
Ken Deshaies, 36 books
Martin L. Primack, 35 books
James F. Willis, 34 books
William A. Raabe, 33 books
David M. Maloney, 30 books
James L. Burrow, 28 books
Harvard Business School Press, 27 books
Claudia Bienias Gilbertson, 27 books
Robert D. Hanson, 25 books
Campbell R. McConnell, 23 books
Gale Group, 23 books
William H. Hoffman, 23 books
Paul R. Krugman, 22 books
Barry J. Epstein, 22 books
Steven A. Eggland, 22 books
Eugene Willis, 22 books
Stanley L. Brue, 22 books
Louis E. Boone, 22 books
David L. Kurtz, 21 books
