Joyce Meyer, 99 books
H. Norman Wright, 79 books
Desiderius Erasmus, 57 books
Pope John Paul II, 53 books
Gary Smalley, 48 books
Thomas Merton, 48 books
Stephen Arterburn, 47 books
Mark C. Taylor, 47 books
Charles F. Stanley, 43 books
Andrew Murray, 40 books
Stormie Omartian, 38 books
Don Colbert, 37 books
Hans Urs von Balthasar, 37 books
Charles R. Swindoll, 36 books
Neil T. Anderson, 34 books
John MacArthur, 34 books
Joel Osteen, 33 books
Myles Munroe, 33 books
François-René de Chateaubriand, 32 books
Robert Harold Schuller, 32 books
Norman Vincent Peale, 32 books
Augustine of Hippo, 31 books
Henri J. M. Nouwen, 31 books
Henry Cloud, 31 books
Larry Burkett, 31 books
