Radio Service, 199 books
Betty Crocker, 61 books
Publications International, Ltd, 49 books
Better Homes and Gardens, 33 books
Jenni Fleetwood, 31 books
Gwen McKee, 31 books
Margo Embury, 28 books
Barbara Moseley, 25 books
Gooseberry Patch (Firm), 22 books
Maria Eliza Ketelby Rundell, 21 books
Favorite Recipes Press, 20 books
Jeni Wright, 19 books
Eric Treuille, 18 books
RH Value Publishing, 18 books
Diane Mott Davidson, 16 books
Katherine Hall Page, 16 books
Ruth Reichl, 16 books
Holly Hughes, 16 books
Hilaire Walden, 16 books
Diane Muldrow, 16 books
Editors of Cook's Illustrated Magazine, 15 books
Wei-Chuan Publishing, 15 books
John Burgoyne, 15 books
Xiande Ran, 15 books
Weight Watchers, 14 books
