Arnold L. Haskell, 12 books
Naṭarāja Rāmakr̥ṣṇa, 11 books
Ted Shawn, 10 books
Raoul-Auger Feuillet, 10 books
Cecil J. Sharp, 10 books
Rudolf von Laban, 9 books
Judith Lynne Hanna, 9 books
Bharata Muni, 9 books
Ki-suk Sŏng, 9 books
Serge Lifar, 8 books
Projesh Banerji, 7 books
Walter Sorell, 7 books
Elizabeth Burchenal, 7 books
Émile Jaques-Dalcroze, 7 books
John Joseph Martin, 6 books
Arlene Croce, 6 books
Mrinalini Sarabhai, 6 books
Janet Adshead-Lansdale, 6 books
Daisy Meadows, 6 books
Sheryl Berk, 6 books
Sandra Boynton, 6 books
Salmen, Walter, 6 books
Molly Schaar Idle, 6 books
Faubion Bowers, 6 books
Kefen Wang, 6 books
