Donald F. Kuratko, 15 books
David B. Audretsch, 15 books
Entrepreneur Press, 12 books
Robert T. Kiyosaki, 11 books
Business Intelligence, 11 books
United States. Congress. House. Committee on Small Business., 10 books
Des Dearlove, 8 books
Donald Trump, 8 books
United States. Congress. Senate. Committee on Small Business and Entrepreneurship., 7 books
Jay Conrad Levinson, 7 books
Raymond W. Y. Kao, 7 books
Peter F. Drucker, 7 books
Richard M. Hodgetts, 7 books
Donald J. Wheeler, 7 books
Hans Landström, 7 books
Zoltán J. Ács, 7 books
Donald L. Sexton, 7 books
Raymond W. Smilor, 6 books
Leo Paul Dana, 6 books
Michael E. Gerber, 6 books
Courtney H. Price, 6 books
Barry Z. Posner, 6 books
Project Management Institute., 6 books
Michele A. Potts, 6 books
Baumol, William J., 6 books
