Corbin, Charles B., 21 books
Roy J. Shephard, 15 books
Lynne Robinson, 14 books
Scott K. Powers, 10 books
Ellington Darden, 10 books
American College of Sports Medicine, 10 books
Jorge Cruise, 9 books
Tommy Boone, 8 books
David R. Lamb, 8 books
Stewart Smith, 8 books
Gregory J Welk, 8 books
Edward T. Howley, 8 books
Claude Bouchard, 8 books
Ruth Lindsey, 8 books
Bonnie Prudden, 7 books
Robert Kennedy, 7 books
Time-Life Books, 7 books
Fahey, Thomas D., 7 books
Lagrange, Fernand, 7 books
Terry J. Housh, 7 books
Mantak Chia, 7 books
James M. Rippe, 7 books
Arnold Schwarzenegger, 7 books
Frank I. Katch, 7 books
Brad Schoenfeld, 6 books
