Fodor's, 375 books
Rick Steves, 358 books
Darwin Porter, 267 books
Karl Baedeker (Firm), 249 books
Chikyū no Arukikata Henshūshitsu, 160 books
Danforth Prince, 139 books
DK Publishing, 92 books
Bob Sehlinger, 85 books
Automobile Association (Great Britain), 82 books
Dana Facaros, 79 books
Ward, Lock and Company, ltd., 78 books
John Murray (Firm), 77 books
Grieben-Verlag., 66 books
Pneu Michelin (Firm), 63 books
Qiyuan Sun, 62 books
Richard Saul Wurman, 62 books
Jeanette Foster, 60 books
Touring club italiano., 57 books
American Automobile Association., 55 books
Brian Bell, 55 books
Tom Stienstra, 52 books
Arthur Frommer, 52 books
Johnny Molloy, 51 books
Editions Berlitz S.A., 50 books
Anthony Ham, 50 books
