Alexandre Dumas, 1237 books
William Lloyd Garrison, 725 books
Titus Livius, 700 books
Samuel May, 588 books
England and Wales. Parliament., 466 books
Niccolò Machiavelli, 406 books
England and Wales. Sovereign (1625-1649 : Charles I)., 395 books
Marco Polo, 371 books
France. Sovereign (1774-1792 : Louis XVI), 317 books
France. Convention nationale, 312 books
France, 308 books
Maria Weston Chapman, 292 books
United States. Congress. House, 267 books
Herodotus, 266 books
Snorri Sturluson, 249 books
William Shakespeare, 233 books
Julius Caesar, 229 books
England and Wales, 208 books
Flavius Josephus, 203 books
Anne Warren Weston, 184 books
Public Record Office, 182 books
Lincoln Financial Foundation Collection, 175 books
Time-Life Books, 174 books
Giovanni Boccaccio, 155 books
Sima Guang, 155 books
