Carl Barks, 41 books
Herbert I. Kavet, 39 books
Dave Barry, 31 books
Henry Beard, 29 books
Erma Bombeck, 26 books
Ray Galton, 23 books
Alan Simpson, 23 books
Martha Bolton, 23 books
Lisa Scottoline, 21 books
Lederer, Richard, 21 books
Michael Dahl, 20 books
Richard Willard Armour, 20 books
P. J. O'Rourke, 19 books
George Hayduke, 19 books
Jeff Foxworthy, 19 books
Katy Hall, 19 books
Art Buchwald, 19 books
Bruce M. Nash, 17 books
Eric Nicol, 16 books
Don Rosa, 15 books
Larry Wilde, 15 books
Leonard Stern, 14 books
Lars Jensen, 14 books
Allan Zullo, 14 books
Dik Browne, 14 books
