Bobbie Kalman, 37 books
Kelly Doudna, 28 books
Burton, Jane., 23 books
Ellen Miles, 19 books
Kate Petty, 16 books
Sandra Markle, 16 books
Georgeanne Irvine, 15 books
Carmen Bredeson, 14 books
Alyssa Satin Capucilli, 13 books
DK Publishing, 13 books
Laura Gates Galvin, 13 books
Dawn Sirett, 13 books
Angela Royston, 12 books
Andrew Bleiman, 12 books
Ruth Owen, 11 books
Sarah Toast, 10 books
Rod Theodorou, 10 books
Bonnie Highsmith Taylor, 10 books
Joan Hewett, 10 books
DK Publishing, Inc, 10 books
Aubrey Lang, 10 books
Helen Dorman, 9 books
Lisa Magloff, 9 books
Lola M. Schaefer, 9 books
Jonathan London, 9 books
