Karen O'Connor, 29 books
Larry J. Sabato, 29 books
Gareth Schott, 19 books
Royal Automobile Club, 13 books
Economic Commission for Europe, 11 books
Bernan, 11 books
Susan Welch, 11 books
John Comer, 10 books
United States. Department of State., 10 books
Richard M. Scammon, 10 books
Charles W. Kegley Jr, 9 books
Alice V. McGillivray, 9 books
William Longman, 8 books
William D. Coplin, 8 books
John Gruhl, 8 books
Anthony H. Cordesman, 8 books
Susan M. Rigdon, 7 books
Thomas R. Dye, 7 books
Harold A. Hovey, 7 books
Unipub, 7 books
Beth Henschen, 7 books
George W. Bush, 7 books
Gabriel A. Almond, 7 books
Rhodes Cook, 7 books
Human Rights Watch (Organization), 7 books
