Johann Wolfgang von Goethe, 58 books
Thomas J. Schoenberg, 48 books
Lawrence J. Trudeau, 43 books
Frank N. Magill, 43 books
Danielle Steel, 38 books
Herman Melville, 37 books
Northrop Frye, 34 books
Kathy D. Darrow, 33 books
Richard Garnett, 30 books
Ebenezer Cobham Brewer, 26 books
Mark Twain, 23 books
X. J. Kennedy, 23 books
Great Books Foundation (U.S.), 23 books
Jelena O. Krstovic, 22 books
Friedrich von Schlegel, 21 books
Virginia Woolf, 20 books
Harold Bloom, 20 books
T. S. Eliot, 19 books
Jacqueline Wilson, 19 books
Ambrose Bierce, 19 books
John Updike, 19 books
Maurice Blanchot, 19 books
A.C Tillyer, 18 books
Blair, Hugh, 17 books
Sylvan Barnet, 16 books
