Daisy Meadows, 217 books
Mary Pope Osborne, 111 books
Nancy E. Krulik, 79 books
Hiro Mashima, 65 books
Emily Rodda, 61 books
Sue Bentley, 43 books
Garth Nix, 35 books
Mercedes Lackey, 32 books
Diana Wynne Jones, 32 books
Ken Akamatsu, 29 books
Scott Cunningham, 27 books
Tamora Pierce, 26 books
E. D. Baker, 25 books
Natsuki Takaya, 24 books
Yoshihiro Togashi, 23 books
Aleister Crowley, 23 books
Eoin Colfer, 22 books
Patricia Telesco, 21 books
Rumiko Takahashi, 21 books
Angie Sage, 21 books
James George Frazer, 20 books
CLAMP (Mangaka group), 20 books
Laura Anne Gilman, 19 books
Jenny Nimmo, 19 books
