Paul Broadbent, 153 books
Peter Patilla, 150 books
School Mathematics Project., 97 books
Wendy Clemson, 81 books
Joseph Liouville, 79 books
David Clemson, 77 books
Paul Harrison, 73 books
Bill Domoney, 63 books
Raymond A. Barnett, 55 books
Liz Ransford, 54 books
Christine Symonds, 54 books
Clyde M. Reese, 50 books
School Mathematics Project, 48 books
Randall I. Charles, 46 books
Judith A. Beecher, 45 books
Alberta. Alberta Education, 41 books
Ruth Merttens, 39 books
Steve Mills, 38 books
Gerver, 37 books
Sean McArdle, 37 books
Robert E. Eicholz, 36 books
Johnson, 36 books
Abe Mizrahi, 36 books
Hilary Koll, 36 books
Harold Fletcher, 35 books
