Rainer Metzger, 7 books
Ingo F. Walther, 7 books
Robert Descharnes, 7 books
National Gallery (Great Britain), 6 books
Wassily Kandinsky, 6 books
Gilles Neret, 6 books
Richard Ormond, 6 books
Edvard Munch, 6 books
National Gallery of Art (U.S.), 6 books
Rosenblum, Robert., 5 books
Karen Wilkin, 5 books
Taschen Publishing, 5 books
René Magritte, 5 books
Rose-Marie Hagen, 4 books
Gerhard Richter, 4 books
John Oliver Hand, 4 books
Christopher Brown, 4 books
Donald Kuspit, 4 books
Wieland Schmied, 4 books
Kodansha Ltd, 4 books
Museum of Fine Arts, Boston., 4 books
Joan Miró, 4 books
Camille Pissarro, 4 books
Alex Katz, 4 books
Deborah Chotner, 3 books
