Immanuel Kant, 130 books
Georg Wilhelm Friedrich Hegel, 123 books
Bertrand Russell, 115 books
Plato, 106 books
Friedrich Nietzsche, 83 books
Mark C. Taylor, 81 books
Giovanni Pico della Mirandola, 80 books
Ludwig Wittgenstein, 76 books
Jacques Derrida, 72 books
Martin Heidegger, 71 books
Plutarch, 68 books
Friedrich Engels, 67 books
Michel Foucault, 66 books
Aristotle, 65 books
Jacques Maritain, 64 books
René Descartes, 63 books
David Hume, 63 books
John Dewey, 60 books
Karl Jaspers, 57 books
Étienne Gilson, 57 books
Arthur Schopenhauer, 54 books
Cicero, 53 books
José Ortega y Gasset, 53 books
Gilles Deleuze, 51 books
Jürgen Habermas, 47 books
