Paul A. Tipler, 91 books
Gene Mosca, 74 books
Aristotle, 64 books
Hugh D. Young, 45 books
Raymond A. Serway, 43 books
Galileo Galilei, 40 books
Albert Einstein, 36 books
David Halliday, 35 books
Robert Resnick, 28 books
Werner Heisenberg, 23 books
Jerry D. Wilson, 22 books
Hermann Haken, 21 books
Francis Weston Sears, 19 books
George Gamow, 19 books
Max Planck, 19 books
Paul G. Hewitt, 18 books
Richard Phillips Feynman, 18 books
Adolphe Ganot, 17 books
John D. Cutnell, 17 books
Ernst U. von Weizsäcker, 17 books
Robert L. Weber, 17 books
Robert Andrews Millikan, 16 books
Michael Nelkon, 16 books
David P. Landau, 16 books
Arthur Beiser, 16 books
