Jean Adamson, 76 books
Gareth Adamson, 73 books
Ian Whybrow, 18 books
Varios, 18 books
Stephen Cartwright, 17 books
Catherine Anholt, 17 books
Lyn Wendon, 17 books
Clare Walters, 16 books
Laurence Anholt, 16 books
Ladybird Books, 16 books
Jane Kemp, 16 books
Jessica Souhami, 14 books
Julie Sykes, 13 books
Allan Ahlberg, 13 books
Nick Sharratt, 13 books
Nicola Tuxworth, 12 books
Mick Manning, 12 books
Stephanie Laslett, 12 books
Ladybird, 11 books
Heather Amery, 11 books
Janet Ahlberg, 11 books
Mick Inkpen, 10 books
Giles Andreae, 10 books
Sue Heap, 10 books
Nick Butterworth, 10 books
