William Shakespeare, 326 books
Nellie McCaslin, 19 books
John Patrick, 14 books
Sylvia E. Kamerman, 12 books
Marsollier, 12 books
William-Alan Landes, 12 books
William Hezlep, 10 books
A. R. Gurney, 10 books
Claire Boiko, 9 books
L. E. McCullough, 9 books
Helen Louise Miller Gotwalt, 8 books
Valerie Tripp, 8 books
Lewis John Carlino, 7 books
F. P. A. Léger, 7 books
Lewis J. Carlino, 7 books
Albert Ramsdell Gurney, 7 books
Reginald Denham, 6 books
Moira Butterfield, 6 books
Wood, David, 6 books
John Fletcher, 5 books
Marjorie Thayer, 5 books
Howard Lindsay, 5 books
Russel Crouse, 5 books
Tennessee Williams, 5 books
Edward Albee, 5 books
