Ovid, 785 books
Homer (poet), 305 books
Publius Vergilius Maro, 177 books
Geoffrey Chaucer, 162 books
Aristotle, 145 books
Robert Burns, 103 books
Francesco Petrarca, 84 books
John Lydgate, 82 books
David Lehman, 81 books
Henry Wadsworth Longfellow, 79 books
Hesiod, 78 books
Rudyard Kipling, 61 books
John Milton, 59 books
Lee Bennett Hopkins, 55 books
Horace, 52 books
Clement Clarke Moore, 47 books
Myra Cohn Livingston, 46 books
Jack Prelutsky, 45 books
Dante Alighieri, 45 books
Pablo Neruda, 45 books
Seamus Heaney, 44 books
Samuel Taylor Coleridge, 43 books
Adam Fieled, 43 books
Robert Browning, 41 books
Homer, 39 books
