Niccolò Machiavelli, 1036 books
Plutarch, 135 books
Aristotle, 105 books
Jean-Jacques Rousseau, 100 books
Plato, 99 books
Leon Battista Alberti, 72 books
Thomas Paine, 66 books
Thomas Hobbes, 59 books
Cicero, 50 books
John Locke, 37 books
Harold Joseph Laski, 35 books
Edmund Burke, 32 books
Montesquieu, Charles de Secondat baron de, 30 books
Bertrand Russell, 26 books
Traiano Boccalini, 26 books
Harold Dwight Lasswell, 26 books
F. J. C. Hearnshaw, 23 books
Terence Ball, 22 books
Larry J. Sabato, 22 books
Georg Wilhelm Friedrich Hegel, 22 books
Ernest Barker, 21 books
Diego de Saavedra Fajardo, 20 books
Karen O'Connor, 20 books
Norberto Bobbio, 20 books
Schmitt, Carl, 19 books
