Aristotle, 97 books
Alfred Adler, 87 books
Karen Huffman, 72 books
Philip M. Parker, 56 books
Robert J. Sternberg, 45 books
James N. Parker, 39 books
William James, 34 books
Varios, 33 books
Herman Melville, 32 books
Carl Gustav Jung, 30 books
Robert S. Feldman, 30 books
James N. Parker, 30 books
Wayne Weiten, 28 books
Michel Hersen, 26 books
David G. Myers, 26 books
American Psychological Association, 26 books
Don H. Hockenbury, 24 books
Lincoln Financial Foundation Collection, 23 books
Sigmund Freud, 22 books
Douglas A. Bernstein, 22 books
Dennis Coon, 22 books
American Psychological Association., 22 books
Hillman, James., 21 books
Spencer A. Rathus, 20 books
Elisabeth Kübler-Ross, 20 books
