Mircea Eliade, 43 books
Jonathan Edwards, 37 books
Carlos Castaneda, 32 books
James George Frazer, 31 books
Nikolaĭ Berdi͡aev, 28 books
Stan Jantz, 27 books
James Hastings, 27 books
Bruce Bickel, 27 books
Sigmund Freud, 25 books
Schuon, Frithjof, 24 books
Marty, Martin E., 23 books
Dr. Henry Cloud, 23 books
Dr. John Townsend, 23 books
Henri Bremond, 22 books
Gary Smalley, 22 books
Zhiming Zheng, 22 books
Ernest Alfred Wallis Budge, 21 books
Iamblichus, 21 books
Alan Watts, 21 books
Jan Thompson, 21 books
Mel Thompson, 21 books
Thomas Browne, 21 books
Karl barth, 20 books
Voltaire, 20 books
Ninian Smart, 19 books
