Dr. Seuss, 203 books
Stan Berenstain, 76 books
P. K. Hallinan, 72 books
Jane Yolen, 68 books
Stella Blackstone, 64 books
Bill Martin, 57 books
Harriet Ziefert, 52 books
Karma Wilson, 50 books
Sandra Boynton, 50 books
Kirsten Hall, 46 books
Julia Donaldson, 32 books
Grace Maccarone, 31 books
Jean Marzollo, 31 books
Eileen Spinelli, 31 books
Jane Belk Moncure, 31 books
Nancy White Carlstrom, 30 books
Joan Holub, 30 books
Mary Packard, 29 books
Nancy Parent, 28 books
Kelli C. Foster, 28 books
Patricia Hubbell, 27 books
Lisa Wheeler, 26 books
Dandi Daley Mackall, 26 books
Lynley Dodd, 25 books
Jan Berenstain, 25 books
