Philip M. Parker, 21 books
Richard Carlson, 17 books
Elbert Hubbard, 13 books
Beverly A. Potter, 13 books
James N. Parker, 12 books
James N. Parker, 12 books
Lazaris, 10 books
Matthew McKay, 10 books
Patrick Fanning, 10 books
Guy Finley, 8 books
Peny North, 8 books
John-Roger., 8 books
John Gray, 7 books
Paul Meier, 7 books
Jamey McCullers, 7 books
Stephen R. Covey, 7 books
David V. Bush, 6 books
Earnie Larsen, 6 books
Hazelden Foundation, 6 books
David Viscott, 6 books
Pat Williams, 6 books
Adventure Publications, 6 books
Elisabeth Kübler-Ross, 6 books
Jeffrey Benjamin, 6 books
Jill Kramer, 6 books
