Ambrose Bierce, 57 books
Edgar Allan Poe, 49 books
Rudyard Kipling, 44 books
Martin Harry Greenberg, 44 books
Arthur Conan Doyle, 42 books
Hans Christian Andersen, 33 books
Isaac Asimov, 31 books
Stephen King, 30 books
Ellen Datlow, 28 books
Martin H. Greenberg, 27 books
Various, 25 books
Robert Silverberg, 25 books
O. Henry, 24 books
Beatrix Potter, 24 books
Jack London, 23 books
Joan Aiken, 22 books
Charles Waugh, 22 books
Jane Yolen, 21 books
Kate Chopin, 21 books
Walt Disney, 21 books
Bruce Coville, 20 books
William Faulkner, 19 books
Nathaniel Hawthorne, 19 books
Phyllis R. Fenner, 18 books
Ray Bradbury, 18 books
