Don Pendleton, 28 books
James Patterson, 26 books
Warren Murphy, 23 books
Michael Connelly, 22 books
Jules Verne, 19 books
Lee Child, 17 books
Andy McNab, 16 books
Alistair MacLean, 15 books
Tess Gerritsen, 14 books
Lincoln Child, 13 books
Stephen King, 13 books
Jack Higgins, 13 books
James Rollins, 12 books
Alex Kava, 12 books
Stuart Woods, 12 books
Charlie Huston, 11 books
Daniel Silva, 11 books
Jonathan Kellerman, 11 books
Patrick Robinson, 11 books
Dean Koontz, 11 books
Erica Spindler, 10 books
Anthony Horowitz, 10 books
James Axler, 9 books
Robert Leslie Bellem, 9 books
James Grippando, 9 books
