Richard S Tuttle, 17 books
Meg Cabot, 15 books
Francine Pascal, 15 books
Anthony Horowitz, 12 books
Isobel Bird, 10 books
Beth Goobie, 10 books
Buichi Terasawa, 10 books
Ellis Parker Butler, 10 books
Cathy Hopkins, 8 books
Louise Rennison, 8 books
Richard S. Tuttle, 8 books
Stephenie Meyer, 7 books
Eoin Colfer, 7 books
Walter Dean Myers, 7 books
Tracey Baptiste, 7 books
Laura Lee Hope, 7 books
Hilari Bell, 6 books
Rick Riordan, 6 books
Eric Walters, 6 books
Regina Brooks, 5 books
Cecily Von Ziegesar, 5 books
Darren Shan, 5 books
Lian Hearn, 5 books
Ellen Schreiber, 5 books
Kate Brian, 5 books
